group,mode,scen,cps,travel_time,routed_distance,CO2e
0,Bike,s0,25,279646.0,867150.8188437709,0.0
0,Car,s0,28,9407714.0,45422028.56343349,5904863.713246353
0,Passenger,s0,27,684732.0,7663423.985113882,498122.5590324024
0,Public Transport,s0,28,3208683.0,22545872.252257887,563646.8063064471
0,Walk,s0,28,3532437.0,4174848.2340338505,0.0
1,Bike,s1,24,238952.0,740962.0296858146,0.0
1,Bike,s2,23,311396.0,965571.2226015953,0.0
1,Bike,s3,21,195249.0,605488.1748944441,0.0
1,Bike,s4,25,318961.0,989022.240366254,0.0
1,Car,s1,28,11547623.0,50442756.739557475,4035420.539164598
1,Car,s2,28,11809650.0,51729588.43765977,4138367.075012782
1,Car,s3,28,9620311.0,46344497.78728679,3707559.822982943
1,Car,s4,27,11847492.0,52488300.57359246,4199064.045887397
1,Passenger,s1,28,797694.0,8425642.614929672,337025.7045971869
1,Passenger,s2,28,897554.0,9648468.890078282,385938.75560313126
1,Passenger,s3,28,699349.0,7565211.758654713,302608.4703461885
1,Passenger,s4,27,893135.0,9667256.79250308,386690.2717001232
1,Public Transport,s1,28,3911631.0,26751484.4375566,401272.26656334894
1,Public Transport,s2,28,3872841.0,27864316.212765444,417964.7431914817
1,Public Transport,s3,28,3326579.0,22668488.36365177,340027.3254547765
1,Public Transport,s4,27,3979404.0,27907704.97248594,418615.57458728907
1,Walk,s1,28,4049136.0,4785980.279554695,0.0
1,Walk,s2,28,3931977.0,4644061.724984989,0.0
1,Walk,s3,28,3589784.0,4255185.807886644,0.0
1,Walk,s4,27,3790547.0,4483234.69304418,0.0
2,Bike,s5,25,227939.0,706859.8896660088,0.0
2,Bike,s6,23,265816.0,824239.9034413159,0.0
2,Bike,s7,21,190375.0,590350.0890049308,0.0
2,Bike,s8,25,307117.0,952297.8342018917,0.0
2,Car,s5,28,10614225.0,47669012.461207405,3813520.9968965924
2,Car,s6,28,10888701.0,48393757.35912909,3871500.588730328
2,Car,s7,28,9434851.0,44626962.12580777,3570156.9700646214
2,Car,s8,27,10834241.0,48514698.9930404,3881175.919443232
2,Passenger,s5,28,769371.0,8207992.664871063,328319.70659484254
2,Passenger,s6,28,830874.0,8944221.249931674,357768.84999726695
2,Passenger,s7,28,688368.0,7513109.717482328,300524.38869929314
2,Passenger,s8,27,879229.0,9519486.63689771,380779.4654759083
2,Public Transport,s5,28,3332087.0,22868933.94306806,343034.0091460209
2,Public Transport,s6,28,3189967.0,23125787.31162149,346886.8096743224
2,Public Transport,s7,28,3152057.0,21223665.72713691,318354.98590705363
2,Public Transport,s8,27,3489625.0,24895773.64413106,373436.60466196586
2,SAEV,s5,28,385900.0,687122.2289356156,20613.666868068467
2,SAEV,s6,28,458496.0,724944.73377056,21748.342013116802
2,SAEV,s7,26,599957.0,994598.9673721412,29837.969021164237
2,SAEV,s8,27,903326.0,1224454.2244241724,36733.62673272518
2,Walk,s5,28,3573475.0,4242494.339923375,0.0
2,Walk,s6,28,3388639.0,4017918.4105703714,0.0
2,Walk,s7,28,3253960.0,3868940.4264120273,0.0
2,Walk,s8,27,3417052.0,4057610.268988357,0.0
