group,mode,cps,travel_time,routed_distance,CO2e
0,Bike,25,279646.0,867150.8188437709,0.0
0,Car,28,9407714.0,45422028.56343349,5904863.713246353
0,Passenger,27,684732.0,7663423.985113882,498122.5590324024
0,Public Transport,28,3208683.0,22545872.252257887,563646.8063064471
0,Walk,28,3532437.0,4174848.2340338505,0.0
1,Bike,93,1064558.0,3301043.667548108,0.0
1,Car,111,44825076.0,201005143.53809652,16080411.48304772
1,Passenger,111,3287732.0,35306580.05616575,1412263.2022466299
1,Public Transport,111,15090455.0,105191993.98645975,1577879.9097968964
1,Walk,111,15361444.0,18168462.505470507,0.0
2,Bike,94,991247.0,3073747.716314147,0.0
2,Car,111,41772018.0,189204430.93918467,15136354.475134773
2,Passenger,111,3167842.0,34184810.26918277,1367392.410767311
2,Public Transport,111,13163736.0,92114160.62595752,1381712.409389363
2,SAEV,109,2347679.0,3631120.154502489,108933.60463507468
2,Walk,111,13633126.0,16186963.445894131,0.0
